latitude,longitude,__CLASS__,id,contract_type,salary_min,title,adref,salary_is_predicted,created,redirect_url,salary_max,contract_time,description,category.label,category.__CLASS__,category.tag,location.__CLASS__,location.display_name,location.area,company.display_name,company.__CLASS__
,,Adzuna::API::Response::Job,5647289348,contract,130000.0,Informatica Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzI4OTM0OCIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.gYVwyKxz56htXuIu7Zail9Zn_5AiUH5qnogj94qqY3M,0,2026-02-27T14:26:33Z,https://www.adzuna.co.uk/jobs/land/ad/5647289348?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=68B7302CD22DBC74579AE54878C96C227554E7C5,136500.0,,"Data Engineer l Informatica l Data governance l SQL Database l Databricks l Stakeholder management l integration l Financial Services I £500-£525 per day | Outside IR35 | 3-6-month initial | Hybrid Remote - London One of my consulting partners is kicking off a major data governance and integration programme for a leading insurance client, and we're looking for three strong Data Engineers with deep experience implementing and optimising Informatica solutions end-to-end from both on prem and clou…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Method Resourcing,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647307448,permanent,75000.0,Senior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0NzMwNzQ0OCIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.G4HGaxayGYIwLoYOs59j8kbnxxMsBxrKoT5dENFhJCQ,0,2026-02-27T14:56:09Z,https://www.adzuna.co.uk/jobs/land/ad/5647307448?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=0338C8532F9F85D3D57863EBAB6F860DA4EB629D,90000.0,full_time,"Senior Data Engineer Location: London or Leeds/Manchester (Hybrid 2-3 Days in Office) Salary: Up to £90,000 This is an opportunity to join a growing data function where you will shape a modern cloud data platform, influence engineering best practice, and take ownership of end-to-end pipelines that power analytics, reporting, and AI use cases. You will play a key role in uplifting data quality, governance, and platform stability, while mentoring more junior members of the team. The Company They …",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5656295432,permanent,60000.0,Senior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjU2Mjk1NDMyIn0.6-jCFcyoKLoST1mzaP3rodBOYgIrF3j5AePRBwTyVn4,0,2026-03-06T15:24:36Z,https://www.adzuna.co.uk/jobs/land/ad/5656295432?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=547C62F71D34002B90774511934E1BA388B21F79,80000.0,full_time,"Senior Data Engineer - Role Overview We are seeking a Senior Data Engineer to support the development and evolution of a scalable data platform underpinning private equity investment activity across EMEA. Working closely with investment, research, and technology teams, you will design, build, and optimise robust data pipelines and infrastructure that transform fragmented market and real estate data into structured intelligence. This role plays a critical part in enabling data-driven decision ma…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Cobalt Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647309548,permanent,110000.0,Lead Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MzA5NTQ4In0.u2AY960UPOh3rdTlnuTMZvw25uE8AKBsvsX_5GeFz5E,0,2026-02-27T14:56:46Z,https://www.adzuna.co.uk/jobs/land/ad/5647309548?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=C5C6E49A139C3DB051BD79CCCC228AF68473895B,125000.0,full_time,"Lead Data Engineer - Gambling Sector (No Sponsorship) Salary: £125,000 Location: Remote (London Office) This is an opportunity to step into a hands-on leadership role where you will shape a modern data function, influence technical direction, and build high-impact data infrastructure from the ground up. If you enjoy ownership, technical depth, and working in a product-driven, fast-moving environment, this role will appeal. The Company They are a rapidly scaling consumer technology business back…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647313305,permanent,80000.0,Senior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MzEzMzA1In0.ek8hrZMhYhpNxgzf9cF0l1KWcs9PpthkIc_09TT-wbk,0,2026-02-27T14:57:55Z,https://www.adzuna.co.uk/jobs/land/ad/5647313305?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=046CE560E8EA82461AEA70BAA19E70364AD339BD,90000.0,full_time,"Senior Data Engineer Central London (2-3 days a week) Salary £90,000 plus benefits. This is an excellent opportunity to take ownership of a modern AWS data platform within a growing financial organisation. You will play a key role in shaping their data environment, strengthening engineering standards, and ensuring their data is ready for analytics and AI initiatives. The Company They are a digital-focused financial services organisation operating across commercial banking, fintech enablement, a…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
51.503378,-0.139134,Adzuna::API::Response::Job,5653861351,contract,53179.22,Senior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1Mzg2MTM1MSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.k_HcDSHvCItxBeL9UQ7d4PUBkyNPYo9h9Civu6y4_mM,1,2026-03-04T18:47:25Z,https://www.adzuna.co.uk/jobs/land/ad/5653861351?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=4731802968A5B296FCBAC88E07F5275278F22CB7,53179.22,,"Your new company This is a financial institution with an office based in the City of London. Your new role You will be migrating data from on prem onto Snowflake for a Greenfield project. What you'll need to succeed Strong Python and SQL are crucial to this role On-prem to Snowflake migration experience Airflow and DBT experience GitHub experience as you will be building CI/CD pipelines as part of this role Any experience within post-trade, OTC, swaps will be extremely beneficial What you'll ge…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Hays Specialist Recruitment Limited,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5627896211,contract,54900.65,GCP Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTYyNzg5NjIxMSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.9QEHWWVFacDViB-DeMZvWbGt4M_hQQyf_rnwwlKcNAQ,1,2026-02-13T15:07:44Z,https://www.adzuna.co.uk/jobs/land/ad/5627896211?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=AB45BD47C1B959C1633357BFE3D0A50B1AE75A4E,54900.65,,"In the role you will be designing and developing complex data processing modules and reporting using Big Query and Tableau. In addition, you will also work closely with the Infrastructure/Platform Team who are responsible for architecting, and operating the core of the client's Data Analytics platform. You will: Work with both the business teams data scientists and engineers to design, build, optimise and maintain production grade data pipelines and reporting from an internal Data warehouse sol…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Lime Street Recruitment Limited,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5659513250,permanent,48304.6,Structured Cabling Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1OTUxMzI1MCIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.TmPTAeZWqbkuucmYdAAUOZd-CUXg8iZ8KFI2jD4ARHY,1,2026-03-09T19:13:18Z,https://www.adzuna.co.uk/jobs/land/ad/5659513250?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=F07E91022CBAC48F52939382DA36069D8BD7245D,48304.6,full_time,"Structured Cabling Data Engineer Cyprus Permanent, Full Time Summary NG Bailey IT Services are currently recruiting a Data Engineer / Managed Services Engineer with experience in both structured and voice cabling to support our contract covering our MOD contract in Cyprus responding to break fix / faults and minor projects across the portfolio. The Data Engineer will have experience of installation and fault finding of Structured and Voice Cabling systems and preferably hold the CNCI (Certified…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",NG Bailey,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5647290566,permanent,80000.0,Senior / Lead Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjQ3MjkwNTY2In0.Haq7NsPgfteNNvVNEhakx1z5KESca-ptMmHzjjesyl0,0,2026-02-27T14:27:09Z,https://www.adzuna.co.uk/jobs/land/ad/5647290566?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=C3518B16DB8E45381FDE79AA01FFB301F33B0C1B,90000.0,full_time,"Senior / Lead Data Engineer London, Hybrid. (1-3 Days in London) Up to £90,000 plus 25% bonus. This is an exciting opportunity to lead data engineering within a growing organisation that is scaling its cloud data platform. You will take technical ownership of GCP data architecture, guide engineering standards, and deliver high quality pipelines that enable analytics and product teams across the business. The Company They are investing heavily in modern data capabilities and are building a cloud…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5648214196,permanent,80000.0,Lead GCP Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY0ODIxNDE5NiIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.Mg1V7Fki6pRMZvv6i0gVev2Ts7IwTVNHnFvQdqKthnY,0,2026-02-28T04:10:26Z,https://www.adzuna.co.uk/jobs/land/ad/5648214196?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=D2F02511DAEF070C1FFE9468776334FC94D30FD8,90000.0,full_time,"Lead GCP Data Engineer New Malden (Hybrid, approx. 4 days per month onsite) £85,000 to £90,000 plus up to 30 percent bonus This is an opportunity to take ownership of a brand-new GCP data platform and shape the engineering standards from the ground up. You will join a growing data function at a pivotal moment, playing a key role in a major cloud migration while influencing best practice across the team. The Company They are a technology-driven organisation within the insurance space, focused on…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Harnham - Data & Analytics Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5651458281,permanent,40000.0,Junior Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1MTQ1ODI4MSIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.6XQo3SpiOm6v6mYrmAPJt2UJaiaFdGOK1bTkVACAetQ,0,2026-03-02T16:29:36Z,https://www.adzuna.co.uk/jobs/land/ad/5651458281?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=2E0B34AC4AF8362FAE061BAF0E93E6EA6C26D72D,50000.0,full_time,"Junior Data Engineer - Research & Technology Role Overview This role supports the development and maintenance of a scalable data platform underpinning private equity investment activity across EMEA. Working closely with investment teams, you will build and optimise data pipelines, automate workflows, and transform fragmented market and real estate data into structured intelligence that informs underwriting, portfolio strategy, and capital allocation decisions. Role Responsibilities * Build and …",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Cobalt Recruitment,Adzuna::API::Response::Company
51.519059,-0.081381,Adzuna::API::Response::Job,5655056867,contract,143000.0,Data Engineer - SC Cleared,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1NTA1Njg2NyIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.5eO9HzwZtBQNwWjkNg8elYPXCGiePWbQcs5uafl_m0E,0,2026-03-05T16:08:47Z,https://www.adzuna.co.uk/jobs/land/ad/5655056867?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=559B200D1669A5E9EF86AF4CE0D4D09C4A534FCD,169000.0,,"6 month contract – Hybrid – SC Cleared – London – Inside IR35 Please note - SC Clearance is REQUIRED for this role Job Description: Our client is seeking a senior Data Engineer to join our Data Engineering team and play a pivotal role in shaping the strategic cloud-first data platform. As a member of the team, you will play a key role in designing and delivering robust, scalable data solutions that support our clients core responsibilities around monetary policy, financial stability, and regula…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"Bishopsgate, Central London","['UK', 'London', 'Central London', 'Bishopsgate']",VIQU IT Recruitment,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5654037770,permanent,90000.0,Senior Data Engineer AWS,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjU0MDM3NzcwIn0.MB-OwV6napgNQtRluEUkPBqW5HVLHqGcgJRcwiK_cZ4,0,2026-03-04T20:14:35Z,https://www.adzuna.co.uk/jobs/land/ad/5654037770?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=E7AFE11F9E5AEF8C4DECAAE0BF53B69367E12B1C,90000.0,,"Senior Data Engineer (AWS) London / WFH to £90k Do you have expertise with modern data platform engineering? You could be progressing your career in a senior, hands-on role at a well established consumer facing financial services company that help people to manage debt, as they go through a technical transformation and scale-up following recent investment. As a Senior Data Engineer you will be responsible for designing, building and owning the new cloud (AWS) hosted data platform from the groun…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"North West London, London","['UK', 'London', 'North West London']",Client Server,Adzuna::API::Response::Company
,,Adzuna::API::Response::Job,5651515087,permanent,85000.0,Lead Data Engineer - Hybrid working,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1MTUxNTA4NyIsInMiOiJzSUNSTHVZYzhSR09RLWRPX1dXZmR3In0.JArS4Rpl6aBwkMXJ-jR-b1Yq1NI5FVyoxH-lERUedjQ,0,2026-03-02T18:31:18Z,https://www.adzuna.co.uk/jobs/land/ad/5651515087?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=787CFB1669735C79335A0045274CDE672614A897,90000.0,full_time,"Senior Data Engineer (Hands-On / Technical Lead Focus) Hybrid working - Central London Ashdown Group are partnering with an innovative, data-led organisation who are recruiting a Senior Data Engineer to take ownership of core data architecture and lead from the front technically. This is a hands-on senior role for someone who enjoys building robust data systems while mentoring others and raising engineering standards. The Role You will design, build, and optimise scalable data pipelines and mod…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",Ashdown Group,Adzuna::API::Response::Company
51.503378,-0.139134,Adzuna::API::Response::Job,5620179256,,47953.57,Data Engineer,eyJhbGciOiJIUzI1NiJ9.eyJzIjoic0lDUkx1WWM4UkdPUS1kT19XV2ZkdyIsImkiOiI1NjIwMTc5MjU2In0.-rCCOfKihHbcDwiz46MNIr2lZHQYGjYbpZEhrAlod7E,1,2026-02-08T03:58:11Z,https://www.adzuna.co.uk/jobs/land/ad/5620179256?se=sICRLuYc8RGOQ-dO_WWfdw&utm_medium=api&utm_source=a082e670&v=FF911F60292A099A3899B763FB5B74EDAEBCCC12,47953.57,,"Data Engineer London (N1) 3-4 days in office £40-65K We’re looking for a skilled Data Engineer to join a growing content & social media business. You'll own data engineering, so will need to be confident as the stand alone person. With ownership and freedom in the role you'll be working end-to-end on modelling, building & maintaining pipelines, warehousing and reporting & insights. Long term you'll be the leader of a department and grow with the business. Key Responsibilities Develop, optimize,…",IT Jobs,Adzuna::API::Response::Category,it-jobs,Adzuna::API::Response::Location,"London, UK","['UK', 'London']",KnoWho,Adzuna::API::Response::Company
